0, 0, 67452, 22484, -1, -1, -1, -1
1, 1.33712, 1477, 2909, -1, -1, -1, -1
2, 0.0171323, 2390, 12987, -1, -1, -1, -1
3, 12.6788, 197166, 1070603, 4.83636e+10, 207436, 0, -1
7, 25.5004, 7515, 46110, 67320.7, 48.232, -1, -1
6, 0.062633, 26211, 144127, 67320.7, 32.8457, -1, -1
7, 6.86485, 9891, 57587, 67320.7, 23.1463, -1, -1
8, 0.296715, 9891, 54250, 35704.4, 11.5804, -1, -1
9, 0.851812, 9891, 54250, 35704.4, 7.84026, -1, -1
6, 0.0359955, 13202, 68670, 35704.4, 7.20934, -1, -1
7, 4.36627, 8559, 46824, 97.2523, 5.45391, -1, -1
8, 0.13943, 8559, 46430, 97.2523, 5.25566, -1, -1
9, 0.720752, 8559, 46430, 97.2523, 5.00474, -1, -1
6, 0.0297318, 10552, 54359, 97.2523, 4.90471, -1, -1
7, 2.09064, 8554, 46250, 97.2523, 4.94449, -1, -1
8, 0.116535, 8554, 46129, 97.2523, 4.90764, -1, -1
9, 0.654411, 8554, 46129, 97.2523, 4.82712, -1, -1
6, 0.0663456, 26952, 141708, 97.2523, 4.8699, -1, -1
7, 3.99466, 14354, 79907, 97.2523, 4.35903, -1, -1
8, 0.374873, 14354, 79468, 97.2523, 4.24846, -1, -1
9, 0.85692, 14354, 79468, 89.9101, 4.05866, -1, -1
6, 0.0531106, 19269, 101998, 89.9101, 4.12692, -1, -1
7, 1.963, 14347, 79659, 89.9101, 4.04243, -1, -1
8, 0.212924, 14347, 79551, 89.9101, 4.01986, -1, -1
9, 0.76015, 14347, 79551, 89.9101, 3.94777, -1, -1
6, 0.0587677, 22121, 118652, 89.9101, 4.16603, -1, -1
7, 1.82787, 16389, 91221, 28.4284, 3.94909, -1, -1
8, 0.282794, 16389, 91101, 28.4284, 3.91912, -1, -1
9, 0.748632, 16389, 91101, 28.4284, 3.84468, -1, -1
6, 0.0560828, 19487, 104884, 32.4484, 3.91405, -1, -1
7, 1.26718, 16261, 90566, 31.7532, 3.84788, -1, -1
8, 0.219851, 16261, 90522, 31.7532, 3.84039, -1, -1
9, 0.619673, 16261, 90522, 31.7532, 3.80925, -1, -1
6, 0.0517044, 17587, 95694, 32.4484, 3.84586, -1, -1
7, 0.899836, 16183, 90130, 31.7532, 3.81514, -1, -1
8, 0.204807, 16183, 90109, 31.7532, 3.81191, -1, -1
9, 0.524782, 16183, 90109, 31.7532, 3.79692, -1, -1
6, 0.0506481, 17214, 93701, 32.4484, 3.81426, -1, -1
7, 0.777289, 16102, 89702, 31.7532, 3.80079, -1, -1
8, 0.197927, 16102, 89695, 31.7532, 3.7993, -1, -1
9, 0.476479, 16102, 89695, 31.7532, 3.79107, -1, -1
6, 0.050374, 17204, 93675, 32.4484, 3.81766, -1, -1
7, 0.784685, 16145, 89908, 31.7532, 3.7951, -1, -1
8, 0.201308, 16145, 89907, 31.7532, 3.79406, -1, -1
9, 0.419687, 16145, 89907, 12.7942, 3.7884, -1, -1
6, 0.0503791, 17109, 93154, 12.7942, 3.80261, -1, -1
7, 0.763644, 16142, 89894, 7.96836, 3.78927, -1, -1
8, 0.19384, 16142, 89888, 7.96836, 3.78898, -1, -1
9, 0.363414, 16142, 89888, 7.96836, 3.78615, -1, -1
7, 0.726223, 16114, 89753, 7.96836, 3.78614, -1, -1
4, 61.9386, 16114, 89753, 7.96836, 3.78614, -1, -1
5, 1.1748, 16114, 46100, 7.96836, 3.91462, -1, -1
-1, 77.1465, 16114, 46100, 7.96836, 3.91462, 0, 626
